perro,Janae,13,Equus ferus caballus
vaca,Ewing,11,Gallus gallus domesticus
gallina,Alesha,2,Gallus gallus domesticus
perro,Uriah,13,Equus ferus caballus
caballo,Roselyn,2,Gallus gallus domesticus
gallina,Audry,4,Gallus gallus domesticus
gallina,Viney,12,Canis lupus familiaris
caballo,Shayla,12,Bos taurus
caballo,Kalvin,3,Canis lupus familiaris
caballo,Nathaly,8,Equus ferus caballus
caballo,Gunnar,7,Gallus gallus domesticus
gallina,Bertha,9,Equus ferus caballus
caballo,Doll,11,Bos taurus
caballo,Dimple,10,Gallus gallus domesticus
vaca,Gerri,12,Gallus gallus domesticus
vaca,Roseann,10,Canis lupus familiaris
perro,Darcie,13,Gallus gallus domesticus
caballo,Eli,6,Bos taurus
perro,Trisha,1,Gallus gallus domesticus
perro,Durwood,5,Equus ferus caballus
gallina,Keon,8,Bos taurus
vaca,Furman,2,Equus ferus caballus
gallina,Brionna,7,Equus ferus caballus
caballo,Rubye,11,Gallus gallus domesticus
caballo,Soledad,5,Equus ferus caballus
vaca,Arely,7,Bos taurus
caballo,Lelah,12,Equus ferus caballus
gallina,Sabra,8,Equus ferus caballus
gallina,Marylin,11,Equus ferus caballus
perro,Darrell,9,Gallus gallus domesticus
caballo,Billye,13,Bos taurus
gallina,Jay,11,Equus ferus caballus
vaca,Ralph,10,Equus ferus caballus
vaca,Mikayla,8,Bos taurus
perro,Florie,8,Bos taurus
gallina,Buck,12,Canis lupus familiaris
gallina,Russel,1,Equus ferus caballus
gallina,Winifred,13,Equus ferus caballus
perro,Rudolph,4,Gallus gallus domesticus
vaca,Evelin,2,Equus ferus caballus
perro,Versie,5,Equus ferus caballus
gallina,Ainsley,3,Equus ferus caballus
perro,Ahmad,9,Gallus gallus domesticus
caballo,Virgel,13,Bos taurus
vaca,Elbert,14,Canis lupus familiaris
caballo,Sky,9,Bos taurus
vaca,Okey,5,Gallus gallus domesticus
vaca,Hasel,2,Equus ferus caballus
caballo,Alice,8,Gallus gallus domesticus
caballo,Agatha,5,Bos taurus
vaca,Mikaila,10,Canis lupus familiaris
caballo,Patti,5,Gallus gallus domesticus
caballo,Lish,12,Bos taurus
perro,Benard,9,Bos taurus
perro,Charlottie,7,Gallus gallus domesticus
gallina,Norton,5,Equus ferus caballus
vaca,Skyler,7,Gallus gallus domesticus
gallina,Callie,5,Canis lupus familiaris
vaca,Ellen,3,Bos taurus
vaca,Jep,1,Bos taurus
perro,Reginal,11,Equus ferus caballus
caballo,Anne,11,Canis lupus familiaris
vaca,Wess,14,Canis lupus familiaris
caballo,Charlotta,2,Equus ferus caballus
caballo,Jaydan,6,Canis lupus familiaris
vaca,Kiya,2,Gallus gallus domesticus
vaca,Lorenza,6,Equus ferus caballus
caballo,Ginger,1,Canis lupus familiaris
caballo,French,8,Equus ferus caballus
caballo,Hyrum,13,Equus ferus caballus
vaca,Ferman,3,Bos taurus
gallina,Myranda,14,Canis lupus familiaris
caballo,Merrill,9,Bos taurus
vaca,Cheyenne,3,Gallus gallus domesticus
perro,Brooks,4,Equus ferus caballus
gallina,Felice,9,Bos taurus
perro,Millicent,11,Gallus gallus domesticus
vaca,Desi,5,Canis lupus familiaris
gallina,Viviana,7,Canis lupus familiaris
perro,Lukas,8,Gallus gallus domesticus
perro,Rasheed,3,Bos taurus
perro,Carleigh,2,Canis lupus familiaris
caballo,Maura,10,Canis lupus familiaris
vaca,Kamila,7,Gallus gallus domesticus
perro,Urban,11,Equus ferus caballus
perro,Hezzie,10,Gallus gallus domesticus
perro,Winfield,14,Equus ferus caballus
perro,Kristan,13,Canis lupus familiaris
gallina,Ruth,9,Bos taurus
gallina,Racquel,13,Equus ferus caballus
vaca,Connor,13,Bos taurus
perro,Patsy,12,Gallus gallus domesticus
perro,Hilmer,12,Equus ferus caballus
perro,Argie,7,Bos taurus
perro,Fletcher,7,Canis lupus familiaris
vaca,Piper,5,Equus ferus caballus
gallina,Boone,13,Gallus gallus domesticus
gallina,Titus,5,Equus ferus caballus
caballo,Autumn,14,Equus ferus caballus
caballo,Deangelo,13,Equus ferus caballus
vaca,Tessa,5,Equus ferus caballus
vaca,Dexter,7,Gallus gallus domesticus
vaca,Leanna,3,Gallus gallus domesticus
caballo,Kiana,14,Equus ferus caballus
caballo,America,3,Gallus gallus domesticus
vaca,Therman,2,Canis lupus familiaris
gallina,Venus,8,Canis lupus familiaris
vaca,Lindsey,12,Canis lupus familiaris
vaca,Alicia,5,Equus ferus caballus
gallina,Jaden,2,Bos taurus
vaca,Aldona,1,Gallus gallus domesticus
vaca,Gerrit,4,Gallus gallus domesticus
gallina,Florine,6,Bos taurus
vaca,Janel,11,Canis lupus familiaris
gallina,Arielle,3,Gallus gallus domesticus
gallina,Caprice,11,Gallus gallus domesticus
caballo,Lorelei,1,Equus ferus caballus
caballo,Harper,5,Canis lupus familiaris
gallina,Madelene,5,Gallus gallus domesticus
perro,Uriel,6,Bos taurus
caballo,Vic,11,Bos taurus
gallina,Fronia,12,Gallus gallus domesticus
caballo,Celie,8,Equus ferus caballus
perro,Joyce,1,Gallus gallus domesticus
gallina,Leesa,11,Canis lupus familiaris
perro,Tom,2,Canis lupus familiaris
perro,Sullivan,10,Equus ferus caballus
gallina,Rosemary,4,Equus ferus caballus
vaca,Gardner,2,Gallus gallus domesticus
perro,Corean,1,Gallus gallus domesticus
gallina,Kyra,6,Gallus gallus domesticus
caballo,Jonas,4,Canis lupus familiaris
